,Customer ID,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
46,1866-NXPSP,,1,Q3,,1,7,None,Yes,21.91,Yes,Yes,Cable,11,No,,No,,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,,,153.37,797.72
47,2135-DQWAQ,3,1,Q3,No,0,4,None,Yes,36.93,No,Yes,Fiber Optic,,No,,No,No,Yes,No,No,Yes,Month-to-Month,Yes,,78.85,292.8,0,0,147.72,440.52
48,8207-VVMYB,3,1,Q3,No,,55,,Yes,37.38,Yes,Yes,,7,,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,5509.3,0,100,,7665.2
49,7469-LKBCI,1,1,Q3,Yes,1,20,None,Yes,5.37,No,Yes,Fiber Optic,24,,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9
50,5792-JALQC,2,1,Q3,No,0,1,None,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,73.55,0,,36.92,110.47
51,0570-BFQHT,1,,Q3,No,0,3,None,Yes,41.9,Yes,Yes,Fiber Optic,11,,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0,0,125.7,330.75
52,8800-JOOCF,1,,Q3,No,0,4,None,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82
53,1023-BQXZE,2,1,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,,,No,Yes,,No,Credit Card,44.95,85.15,0,0,53.24,138.39
54,7596-IIWYC,1,,Q3,Yes,2,44,None,,,,,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7
55,5590-YRFJT,,1,Q3,,1,33,None,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,,Yes,,Yes,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77
56,4078-SAYYN,2,1,Q3,No,,4,,Yes,49.5,Yes,,Fiber Optic,23,No,,No,,,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,424.45,0,,198,622.45
57,2884-GBPFB,1,1,Q3,Yes,1,27,None,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15
58,0475-RIJEP,1,1,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0,,,1143
59,4355-CVPVS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8883-GRDWQ,1,1,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0,0,343.44,
61,2446-PLQVO,3,1,,,0,14,None,,,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0,0,158.34,1424.44
62,1657-DYMBM,1,1,Q3,,0,12,None,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,43.65,,0,0,0,526.95
63,1342-JPNKI,1,1,,,0,13,None,,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,,No,,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0,0,524.81,1465.16
64,1618-CFHME,,1,Q3,No,0,,None,Yes,3.96,No,Yes,Fiber Optic,27,No,No,,No,Yes,Yes,No,,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0,0,,1091.26
65,5130-IEKQT,3,1,Q3,Yes,1,17,,Yes,,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0,0,479.06,2101.51
66,0848-ZGQIJ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6674-KVJHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1090-ESELR,2,1,Q3,Yes,1,3,Offer E,,3.29,,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,,Bank Withdrawal,80.4,224.05,0,0,9.87,
69,5286-YHCVC,1,1,,No,0,21,None,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0,0,727.02,
70,4163-KIUHY,2,1,Q3,,0,46,None,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,,,,0,0,281.98,4706.18
71,2212-LYASK,1,1,Q3,Yes,1,,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,,No,No,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0,,1640.84,7768.44
72,9823-EALYC,,1,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0,,95.41,772.11
73,5889-JTMUL,1,1,Q3,Yes,1,15,None,Yes,45.25,,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0,0,678.75,2024.3
74,2165-VOEGB,3,1,Q3,No,0,16,None,Yes,19.18,Yes,Yes,Fiber Optic,22,No,No,No,,Yes,No,No,Yes,,Yes,Bank Withdrawal,86.6,1281,0,0,,1587.88
75,2612-PHGOX,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,9227-YBAXE,1,1,Q3,No,,1,None,No,0,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,,Bank Withdrawal,25.2,25.2,0,0,,25.2
77,7134-MJPDY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7126-RBHSD,3,1,Q3,No,0,1,None,Yes,20.06,No,,,24,,No,No,No,Yes,No,No,Yes,,Yes,,79.2,,0,0,20.06,99.26
79,7853-OETYL,1,1,Q3,Yes,1,34,None,Yes,,Yes,Yes,Fiber Optic,4,,Yes,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0,,97.92,3315.47
80,6242-MBHPK,1,1,,,0,4,None,Yes,12.68,No,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,,442.85,0,0,,493.57
81,6619-RPLQZ,2,1,Q3,No,0,9,None,Yes,30.8,,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0,0,277.2,1009.7
82,5982-FPVQN,1,1,Q3,No,0,5,None,,42.33,No,Yes,Fiber Optic,9,No,No,Yes,No,,No,No,Yes,Month-to-Month,Yes,,75.55,349.65,0,0,,561.3
83,5244-IRFIH,,,Q3,No,,22,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8,No,No,,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,,2082.95,0,100,883.96,3066.91
84,8922-LIEGH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2868-SNELZ,3,1,Q3,,0,15,Offer D,Yes,,Yes,Yes,,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,,0,695.7,1842.35
86,3841-CONLJ,1,1,,No,0,1,None,Yes,11.34,Yes,Yes,Fiber Optic,20,No,No,No,No,No,No,,Yes,Month-to-Month,Yes,,,74.7,0,0,11.34,86.04
87,2229-VWQJH,1,1,Q3,No,0,10,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,,Bank Withdrawal,95.35,898.35,0,0,413.7,1312.05
88,7801-KICAO,3,1,Q3,No,0,3,None,Yes,30.14,,Yes,DSL,6,No,No,No,No,No,,No,No,Month-to-Month,No,,45,127.1,,,90.42,227.52
89,0196-JTUQI,2,1,Q3,Yes,,12,Offer D,Yes,6.97,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0,0,83.64,1033.84
90,7124-UGSUR,2,1,Q3,No,0,2,,Yes,6.51,,Yes,Fiber Optic,11,,Yes,No,,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,,0,13.02,178.42
91,7605-BDWDC,1,1,Q3,No,0,1,None,,49.6,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0,10,49.6,
92,0014-BMAQU,,1,Q3,Yes,,13,Offer D,Yes,1.47,No,Yes,Fiber Optic,5,No,,No,,No,Yes,No,Yes,Month-to-Month,Yes,,89.05,1169.35,0,0,19.11,1188.46
93,7248-VZQLC,2,1,Q3,No,,23,Offer D,Yes,31.17,No,Yes,Fiber Optic,,No,,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,,94.75,2293.6,0,0,716.91,
94,4316-XCSLJ,1,1,Q3,,1,17,,Yes,36.82,Yes,Yes,,6,,No,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0,,625.94,2089.39
95,4713-LZDRV,1,,Q3,,0,,None,Yes,40.93,No,Yes,DSL,2,No,No,No,No,No,No,No,,,Yes,Bank Withdrawal,45.05,770.6,0,0,695.81,1466.41
96,3780-YVMFA,2,1,Q3,No,,42,None,,9.53,Yes,,Fiber Optic,17,No,No,,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0,0,,3941.61
97,4781-ZXYGU,3,1,Q3,No,,1,,,,No,Yes,Fiber Optic,16,No,No,No,No,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,,0,,121.4
98,7572-KPVKK,2,1,Q3,No,0,1,Offer E,Yes,39.78,No,Yes,Cable,12,No,No,Yes,No,No,,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0,0,39.78,89.93
99,7398-LXGYX,1,1,Q3,No,0,1,Offer E,Yes,34.51,No,Yes,,15,No,,No,No,No,No,No,Yes,,,Bank Withdrawal,,69.6,0,,34.51,104.11
100,9128-CPXKI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5081-NWSUP,1,1,,Yes,1,32,None,Yes,,Yes,Yes,Fiber Optic,23,No,,No,No,No,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,85,2642.05,49.57,0,191.68,2784.16
102,7594-LZNWR,,1,Q3,Yes,1,32,None,Yes,,Yes,,Fiber Optic,10,No,,No,No,,Yes,Yes,Yes,,No,Bank Withdrawal,85.3,2661.1,0,0,1587.2,4248.3
103,9122-UMROB,2,,Q3,Yes,1,,None,No,0,,Yes,Cable,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,,Bank Withdrawal,44.85,2572.95,12.07,0,,2560.88
104,6557-BZXLQ,2,1,Q3,No,0,1,Offer E,,15.28,No,Yes,,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,,,15.28,
105,4727-MCYZG,3,1,Q3,No,0,1,Offer E,No,0,No,Yes,DSL,26,,Yes,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0,0,0,43.3
106,0661-KBKPA,1,1,,No,0,38,None,Yes,26.1,,Yes,DSL,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,2250.65,0,0,991.8,3242.45
107,1544-JJMYL,1,1,Q3,,,35,None,Yes,15.98,Yes,,,22,Yes,Yes,No,Yes,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,0,0,559.3,4212.65
108,6178-KFNHS,1,1,Q3,No,0,1,Offer E,Yes,15.24,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,,45.1,45.1,0,0,15.24,60.34
109,0480-BIXDE,3,1,Q3,Yes,1,30,None,Yes,4.65,No,Yes,DSL,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,0,0,,
110,6797-UCJHZ,3,1,Q3,,0,5,Offer E,Yes,12.27,No,Yes,Fiber Optic,20,No,No,No,No,,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,,0,0,61.35,439.75
111,4791-QRGMF,1,,Q3,No,0,1,,Yes,,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,,Yes,Month-to-Month,,Bank Withdrawal,93.55,93.55,0,0,30.17,123.72
112,1535-VTJOQ,2,1,Q3,No,,16,None,Yes,17.51,Yes,,Fiber Optic,7,No,No,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,0,0,280.16,1630.31
113,8241-JUIQO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6954-OOYZZ,1,1,Q3,No,0,21,None,Yes,42.27,No,Yes,Fiber Optic,7,No,No,,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,10.2,0,887.67,2907.77
115,7136-RVDTZ,,1,Q3,No,,43,None,Yes,31.83,No,Yes,Fiber Optic,10,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,108.15,4600.7,,0,1368.69,5969.39
116,9693-XMUOB,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2455-USLMV,3,1,Q3,No,0,1,Offer E,,18.2,No,Yes,Fiber Optic,13,No,,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,0,0,18.2,88.75
118,9824-QCJPK,3,1,Q3,Yes,1,29,None,Yes,25.78,Yes,Yes,Fiber Optic,28,No,,Yes,,,Yes,Yes,No,Month-to-Month,Yes,,98.5,3004.15,37.55,40,747.62,3754.22
119,2075-PUEPR,3,1,Q3,Yes,1,7,None,Yes,,Yes,Yes,Fiber Optic,17,No,No,No,,,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,527.9,32.46,0,62.44,557.88
120,4450-YOOHP,1,1,Q3,No,0,2,None,Yes,,Yes,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,0,,,222.39
121,3012-VFFMN,3,1,,No,0,1,None,Yes,43.61,No,Yes,Fiber Optic,2,No,No,No,,Yes,Yes,Yes,Yes,Month-to-Month,Yes,,91.3,91.3,0,0,43.61,134.91
122,6077-BDPXA,,,Q3,Yes,1,7,None,Yes,16.05,No,Yes,Fiber Optic,22,No,No,,No,No,No,,Yes,Month-to-Month,Yes,Credit Card,70.1,,20.23,0,,559.67
123,4821-WQOYN,2,1,Q3,,1,57,None,Yes,49.91,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05,12.59,0,2844.87,8259.33
124,9786-YWNHU,1,1,Q3,Yes,4,,None,Yes,17.35,Yes,,Fiber Optic,23,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,100.8,0,0,17.35,118.15
125,4177-JPDFU,1,1,,Yes,2,17,None,Yes,,No,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.45,,0,0,17.85,1251.25
126,1101-SSWAG,2,1,Q3,No,0,3,,Yes,18.38,No,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,,0,0,55.14,276.09
127,7609-YBPXG,1,1,Q3,Yes,,66,Offer A,Yes,28.86,,Yes,Fiber Optic,25,No,No,,,Yes,Yes,,Yes,Month-to-Month,Yes,Credit Card,,6822.15,0,0,1904.76,8726.91
128,0282-NVSJS,3,,Q3,Yes,1,69,,Yes,,Yes,Yes,Fiber Optic,4,,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,,0,3372.72,10690.92
129,1478-VPOAD,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6807-SIWJI,3,1,,No,0,56,None,,,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.75,5510.65,,0,1936.48,
131,1157-BQCUW,2,1,Q3,No,0,1,None,Yes,47.97,No,Yes,Fiber Optic,8,,No,No,,No,No,,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,70.15,0,0,47.97,118.12
132,5364-XYIRR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,5117-IFGPS,1,1,,Yes,1,40,,Yes,49.5,Yes,,Fiber Optic,20,No,,No,No,,Yes,Yes,Yes,Month-to-Month,Yes,,,3640.45,0,,1980,5620.45
134,4816-LXZYW,3,1,,No,0,2,None,No,0,No,Yes,DSL,6,No,No,No,No,,No,No,Yes,Month-to-Month,,Credit Card,24.45,47.5,0,0,0,47.5
135,3411-WLRSQ,3,1,Q3,No,0,7,None,Yes,39.51,Yes,Yes,,13,No,,No,No,,No,No,,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95,0,0,276.57,823.52
136,1335-MXCSE,3,,Q3,No,0,31,None,Yes,39.36,Yes,Yes,Fiber Optic,4,No,,No,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65,0,0,1220.16,4406.81
137,8024-XNAFQ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6519-ZHPXP,1,,Q3,,,15,None,Yes,,Yes,Yes,Fiber Optic,9,,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.2,1133.9,43.31,0,352.95,1443.54
