,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Extra Data Charges,Total Revenue
38,0980-FEXWF,,,,,,,,33.897253,-117.792202,3.0,3.0,0.0,0.0,35.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2637.75
39,8670-MEFCP,1.0,21.0,1.0,0.0,,1.0,3.0,37.421299,-120.599587,4.0,3.0,1.0,0.0,58.0,0.0,0.0,0.0,1.0,3.0,52.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3044.441077322455
40,4664-NJCMS,0.0,40.0,0.0,0.0,1.0,0.0,0.0,38.027218,-122.23463,2.0,3.0,1.0,1.0,47.0,0.0,1.0,0.0,1.0,3.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6125.87
41,7319-ZNRTR,1.0,58.0,0.0,0.0,1.0,0.0,0.0,38.129308,-122.834815,,3.0,1.0,1.0,40.0,2.0,0.0,1.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
42,3877-JRJIP,1.0,20.0,1.0,0.0,0.0,0.0,0.0,38.047746,-119.7549407277953,3.0,3.0,0.0,0.0,68.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2054.52
43,1552-TKMXS,1.0,,1.0,0.0,1.0,1.0,1.0,34.581308,-118.931948,4.0,3.0,1.0,2.0,32.0,1.0,1.0,1.0,1.0,3.0,59.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7958.95
44,6297-NOOPG,0.0,54.0,0.0,0.0,1.0,,0.0,33.667145,-117.732135,4.0,3.0,1.0,0.0,32.0,2.0,1.0,1.0,1.0,2.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6361.5
45,1919-RTPQD,1.0,65.0,0.0,1.0,0.0,0.0,0.0,38.606703,-120.586659,4.0,3.0,0.0,0.0,67.0,0.0,0.0,0.0,1.0,2.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,9465.11
46,1088-CNNKB,0.0,70.0,0.0,1.0,0.0,0.0,0.0,,,1.0,3.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,747.6899999999999
47,2187-PKZAY,0.0,29.0,1.0,0.0,1.0,0.0,0.0,38.33788,-120.954202,5.0,3.0,1.0,6.0,46.0,0.0,1.0,1.0,1.0,2.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,4946.3
48,2466-NEJOJ,,,,,,,,34.191842,-118.822796,3.0,3.0,1.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1037.38
49,2969-VAPYH,0.0,50.0,0.0,,0.0,0.0,0.0,38.954144,-121.482536,,3.0,0.0,0.0,32.0,0.0,1.0,1.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,218.21
50,4971-PUYQO,0.0,65.0,0.0,1.0,0.0,,0.0,37.83323,-119.7549407277953,1.0,3.0,0.0,1.0,14.0,4.0,1.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1330.89
51,9638-JIQYA,0.0,63.0,0.0,0.0,0.0,0.0,,34.255203,-117.175654,4.0,3.0,0.0,0.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2886.55
52,3251-YMVWZ,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
53,8680-CGLTP,1.0,50.0,0.0,,0.0,0.0,0.0,,,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,102.66
54,6521-YYTYI,1.0,73.0,,1.0,1.0,0.0,0.0,38.787446,-122.58675,5.0,,,,,,,,,,,,,,,,,,,,,,,
55,9314-IJWSQ,0.0,49.0,,,,0.0,0.0,34.13946,-118.166649,4.0,3.0,1.0,5.0,34.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.88
56,9953-ZMKSM,0.0,31.0,0.0,0.0,1.0,0.0,0.0,34.038983,-117.991372,2.0,3.0,1.0,1.0,48.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3044.441077322455
57,6265-SXWBU,1.0,40.0,0.0,0.0,0.0,0.0,0.0,34.248061,-117.29028,,3.0,0.0,0.0,32.0,5.0,1.0,0.0,1.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,951.42
58,4223-WOZCM,,,,,,,,37.22565,-122.297533,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
59,9619-GSATL,,,,,,,,37.238758,-121.828375,3.0,3.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3044.441077322455
60,0129-KPTWJ,,62.0,0.0,0.0,1.0,0.0,0.0,,,,3.0,1.0,4.0,29.0,0.0,1.0,1.0,1.0,2.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,150.0,3735.75
61,7010-BRBUU,1.0,,0.0,0.0,,1.0,,34.026334,-118.474222,3.0,3.0,1.0,2.0,54.0,2.0,1.0,0.0,1.0,2.0,75.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6883.85
62,1303-SRDOK,1.0,19.0,1.0,0.0,1.0,1.0,1.0,,,,3.0,1.0,3.0,32.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1904.15
63,5394-SVGJV,,,,,,,,32.787836,-117.232376,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,102.13
64,5726-CVNYA,0.0,50.0,0.0,0.0,0.0,0.0,0.0,34.059281,-118.30742,3.0,3.0,0.0,0.0,53.0,0.0,1.0,1.0,1.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5114.23
65,0567-XRHCU,1.0,27.0,1.0,0.0,1.0,0.0,0.0,34.061634,-117.893169,4.0,,,,,,,,,,,,,,,,,,,,,,,
66,5299-SJCZT,1.0,48.0,0.0,0.0,1.0,0.0,0.0,38.109125,-120.078597,,3.0,1.0,1.0,53.0,2.0,1.0,0.0,1.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5703.76
67,3091-FYHKI,0.0,40.0,0.0,0.0,0.0,0.0,0.0,36.19204239161876,-115.689559,2.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,3.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,780.6300000000001
68,5515-IDEJJ,1.0,45.0,,0.0,0.0,0.0,0.0,33.888323,-117.277533,4.0,3.0,0.0,0.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4068.57
69,9644-KVCNC,0.0,35.0,0.0,,0.0,0.0,,35.536115,-120.739231,4.0,3.0,0.0,0.0,32.0,0.0,1.0,1.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,207.92
70,5233-AOZUF,1.0,26.0,,0.0,1.0,1.0,1.0,38.608405,-121.449942,3.0,,,,,,,,,,,,,,,,,,,,,,,
71,2812-SFXMJ,1.0,69.0,0.0,1.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,36.0,3.0,1.0,1.0,1.0,2.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4026.58
72,3156-QLHBO,,,,,,,,,,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,265.8
73,4445-KWOKW,1.0,61.0,0.0,0.0,1.0,1.0,,34.099869,-118.326843,1.0,3.0,1.0,1.0,47.0,0.0,1.0,0.0,1.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6222.599999999999
74,4250-ZBWLV,1.0,22.0,1.0,0.0,0.0,0.0,0.0,34.1692,-118.372498,,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,73.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,202.72
75,9847-HNVGP,1.0,26.0,1.0,0.0,1.0,0.0,0.0,,,3.0,3.0,1.0,2.0,61.0,0.0,1.0,0.0,1.0,3.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,5988.389999999999
76,0022-TCJCI,0.0,37.0,0.0,0.0,1.0,0.0,0.0,38.044523,-121.348048,3.0,3.0,1.0,2.0,55.0,2.0,1.0,1.0,1.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5239.0
77,6180-YBIQI,0.0,61.0,0.0,0.0,0.0,0.0,0.0,33.885811,-119.7549407277953,,3.0,0.0,8.0,31.0,0.0,1.0,0.0,1.0,1.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,70.0,3044.441077322455
78,1099-GODLO,1.0,53.0,,0.0,0.0,0.0,0.0,36.303793,-119.375646,,3.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,32.06
79,7228-PAQPD,1.0,22.0,1.0,0.0,1.0,0.0,,34.422519,-118.420717,3.0,,,,,,,,,,,,,,,,,,,,,,,
80,3336-JORSO,1.0,77.0,0.0,,1.0,0.0,0.0,34.419203,-119.710008,2.0,3.0,1.0,1.0,43.0,2.0,1.0,1.0,1.0,2.0,20.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5312.259999999999
81,0946-FKYTX,,,,,,,,36.19204239161876,-118.210946,2.0,3.0,0.0,0.0,41.0,0.0,1.0,1.0,1.0,2.0,22.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,5001.08
82,8642-GVWRF,0.0,30.0,0.0,0.0,0.0,0.0,0.0,37.708327,-122.083473,3.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,51.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,165.99
83,4398-HSCJH,1.0,45.0,0.0,0.0,1.0,0.0,,33.929812,-116.76058,3.0,3.0,1.0,0.0,72.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3044.441077322455
84,0962-CQPWQ,1.0,39.0,0.0,0.0,0.0,,0.0,34.019323,-118.391902,,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.82
85,8984-HPEMB,1.0,53.0,0.0,0.0,1.0,,0.0,38.148862,-121.737696,5.0,,,,,,,,,,,,,,,,,,,,,,,
86,7102-JJVTX,0.0,,0.0,0.0,,1.0,1.0,33.823943,-119.7549407277953,,3.0,1.0,7.0,14.0,0.0,1.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1715.88
87,2207-QPJED,1.0,37.0,0.0,0.0,0.0,1.0,3.0,40.440636,-124.098739,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,37.09
88,5923-GXUOC,,,,,,,,36.19204239161876,-116.425984,,3.0,1.0,1.0,72.0,0.0,1.0,1.0,1.0,2.0,23.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,7227.25
89,6261-RCVNS,0.0,60.0,,0.0,0.0,,0.0,38.156971,-120.849231,,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,183.99
90,1442-OKRJE,1.0,,0.0,0.0,0.0,0.0,0.0,34.408161,-118.865111,5.0,3.0,0.0,0.0,71.0,0.0,1.0,1.0,1.0,2.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,6651.25
91,4018-PPNDW,1.0,35.0,0.0,0.0,,1.0,2.0,39.435756,-121.552071,3.0,3.0,1.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,5482.76
92,9025-ZRPVR,0.0,80.0,0.0,1.0,0.0,0.0,0.0,33.657433,-117.04254,3.0,3.0,0.0,0.0,56.0,0.0,1.0,1.0,1.0,2.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,6676.78
93,7845-URHJN,1.0,21.0,1.0,0.0,1.0,1.0,1.0,35.634222,-120.728341,3.0,3.0,1.0,6.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1679.0500000000002
94,4302-ZYFEL,1.0,72.0,0.0,1.0,1.0,0.0,0.0,32.730264,-116.950963,1.0,3.0,1.0,0.0,26.0,3.0,1.0,1.0,1.0,2.0,18.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,2833.01
95,3415-TAILE,0.0,62.0,0.0,0.0,1.0,0.0,0.0,37.621458,-121.012295,3.0,3.0,1.0,1.0,11.0,4.0,1.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,913.39
96,4007-NHVHI,1.0,73.0,0.0,1.0,1.0,0.0,0.0,37.758019,-119.7549407277953,4.0,3.0,0.0,10.0,33.0,0.0,1.0,0.0,1.0,2.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3044.441077322455
97,4140-WJAWW,0.0,25.0,1.0,0.0,1.0,1.0,,32.79697,-116.969082,3.0,3.0,1.0,10.0,23.0,0.0,1.0,1.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2094.7200000000003
98,8869-LIHMK,0.0,44.0,0.0,0.0,0.0,0.0,0.0,36.19204239161876,-117.232376,3.0,3.0,0.0,0.0,32.0,4.0,1.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,181.14
99,4822-NGOCH,0.0,34.0,0.0,,0.0,,,33.890853,-118.297967,,3.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,144.22
100,2637-FKFSY,1.0,76.0,0.0,1.0,0.0,0.0,,38.232389,-122.324944,,3.0,0.0,4.0,13.0,0.0,1.0,0.0,1.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1437.05
101,0303-UNCIP,0.0,30.0,0.0,0.0,1.0,,1.0,,,4.0,3.0,1.0,3.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3044.441077322455
